,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
16,0.48859591484069825,0.012782620804943546,0.0063016414642333984,0.0005109979747626438,0.01,0.01,9,200,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 200}",0.7852183381084885,0.7175076556648707,0.7744472529180834,0.7523028683153352,0.743638685438496,0.7546229600890548,0.023801943955317463,44,-7.535064881174566,-8.648330045104936,-8.129310510766969,-8.099049696212168,-8.819005921868095,-8.246152211025349,0.454058301919302,44
13,0.4134040355682373,0.009040409837773147,0.006109476089477539,0.00019601951443536518,0.01,0.01,6,200,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 200}",0.784493753284894,0.7166474440526649,0.7745718762675995,0.7454312742086027,0.7361077051830078,0.7514504105993536,0.024937280378241295,45,-7.547764281549619,-8.661487462111364,-8.127064380099709,-8.210622772879633,-8.947603777202628,-8.29890853476859,0.48037724227936807,45
49,0.43691205978393555,0.023368386810500248,0.013195991516113281,0.009879993311650216,0.1,0.01,6,200,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 200}",0.7851776461925721,0.7165920647425982,0.7733805086743524,0.7454710159042431,0.7357636019326381,0.7512769674892807,0.024960923912037417,46,-7.535778633229997,-8.662333834863455,-8.148511487300636,-8.209981852031282,-8.953435505850424,-8.302008262655159,0.484423355438152,46
10,0.33590054512023926,0.03347996480568708,0.005501079559326172,0.000454077817559794,0.01,0.01,3,200,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}",0.7223940013972525,0.6337255933347399,0.7141412525509453,0.6755843748109049,0.6492836700905025,0.6790257784368692,0.034820805054130675,47,-8.566488182241228,-9.847640835501325,-9.151776282647404,-9.268820182075746,-10.315051085915714,-9.429955313676283,0.6011288234957867,47
46,0.3242044448852539,0.006283124972881483,0.005601263046264649,0.0004913042458784786,0.1,0.01,3,200,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}",0.7223940013972525,0.6337255933347399,0.7141412525509453,0.6755843748109049,0.6492836700905025,0.6790257784368692,0.034820805054130675,47,-8.566488182241228,-9.847640835501325,-9.151776282647404,-9.268820182075746,-10.315051085915714,-9.429955313676283,0.6011288234957867,47
15,0.2417912483215332,0.021322822531132952,0.005601406097412109,0.00048013164169026897,0.01,0.01,9,100,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 100}",0.08980430358852487,-0.060632272441984325,0.11562710793997255,0.022422014495544595,0.045588354883919324,0.0425619016931954,0.06104781888227531,49,-15.511571028003807,-16.757581203424866,-16.09708965621138,-16.089749458799258,-17.0161479955291,-16.294427868393683,0.5346197541336271,49
51,0.23980813026428222,0.00601760068349302,0.012480735778808594,0.013497042868017232,0.1,0.01,9,100,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 100}",0.08982319767916647,-0.060626834177552436,0.11548465875794867,0.022438248469302535,0.04557407589443363,0.04253866932465977,0.06101361441609718,50,-15.511410030456187,-16.757538242128568,-16.098386012616206,-16.08961586247305,-17.016275284676702,-16.294645086470144,0.5346086374631621,50
48,0.23540196418762208,0.048413675856778554,0.005203723907470703,0.0007428452323155923,0.1,0.01,6,100,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100}",0.0878315731509719,-0.06601424592472083,0.11593459802162709,0.02158891335780433,0.048840523411656234,0.04163627240346775,0.0627641281855118,51,-15.528371583042716,-16.800043957902634,-16.094290991883586,-16.096603916529784,-16.987131897422593,-16.301288469356262,0.5293925727041059,51
12,0.2074120044708252,0.0010832939004988239,0.005594682693481445,0.0005818948074260043,0.01,0.01,6,100,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100}",0.08759235891465156,-0.06601294770806021,0.1159346783635975,0.021612331893090087,0.048840523411656234,0.04159338897498703,0.06272705929257291,52,-15.530407590832038,-16.800033728159605,-16.09429026057622,-16.096411277082204,-16.987131897422593,-16.30165495081453,0.5288114258757692,52
9,0.16830787658691407,0.0016328850704222595,0.00579676628112793,0.0005052736631577894,0.01,0.01,3,100,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",0.019624851255018005,-0.14336048306330063,0.05187599915525343,-0.046898877691730734,-0.02992983254910464,-0.029737668578772913,0.06678643143923324,53,-16.09846782457735,-17.398848351604588,-16.667183702835416,-16.65044872762397,-17.676537880032523,-16.89829729733477,0.567587765028436,53
45,0.18719959259033203,0.025001272444201552,0.005795860290527343,0.0004050164719098774,0.1,0.01,3,100,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",0.019624851255018005,-0.14336048306330063,0.05187599915525343,-0.046898877691730734,-0.02992983254910464,-0.029737668578772913,0.06678643143923324,53,-16.09846782457735,-17.398848351604588,-16.667183702835416,-16.65044872762397,-17.676537880032523,-16.89829729733477,0.567587765028436,53
5,1.3669147968292237,0.18343080938618628,0.008503532409667969,0.0011060899320832495,0.01,0.001,6,500,"{'gamma': 0.01, 'learning_rate': 0.001, 'max_depth': 6, 'n_estimators': 500}",-1.2342112979213593,-1.4616974550975064,-1.1193143133824477,-1.2967407590032116,-1.2062900749337229,-1.2636507800676493,0.11428681587480603,55,-24.302475768279336,-25.52973178594598,-24.91881222952514,-24.662072146131905,-25.871683813705356,-25.056955148717545,0.57123650682048,55
41,1.1621900081634522,0.12558957932501108,0.007613182067871094,0.0014172180412275613,0.1,0.001,6,500,"{'gamma': 0.1, 'learning_rate': 0.001, 'max_depth': 6, 'n_estimators': 500}",-1.2341415546773415,-1.4617015877434532,-1.1193459938550823,-1.2968453704060456,-1.2062876764840822,-1.263664436633201,0.11429015152321131,56,-24.302096451710934,-25.52975321532555,-24.918998477688927,-24.662633790840175,-25.87166975119646,-25.05703033735241,0.5712496644760606,56
