iter	Logloss
0	0.6598489784
1	0.6408121475
2	0.6230851635
3	0.6117141792
4	0.6043046896
5	0.6001792939
6	0.5953944841
7	0.5925664047
8	0.5906503521
9	0.588553643
10	0.5869222832
11	0.585416158
12	0.5842004696
13	0.5832677582
14	0.5821486263
15	0.5815490362
16	0.5807931659
17	0.5802649798
18	0.5797248752
19	0.5790810724
20	0.5787551987
21	0.5781443796
22	0.5776773268
23	0.5772780056
24	0.5768353526
25	0.5762444823
26	0.5753128353
27	0.5749004018
28	0.5744611981
29	0.5741288476
30	0.5738857596
31	0.5736983367
32	0.5735709474
33	0.5733266052
34	0.5730880643
35	0.5728093136
36	0.5727084356
37	0.5724206643
38	0.5722408841
39	0.5720183227
40	0.5718889078
41	0.5715762412
42	0.5713326882
43	0.5710169388
44	0.5708643
45	0.5704452114
46	0.570324277
47	0.5701534664
48	0.5698733622
49	0.5696909298
50	0.5694459404
51	0.5692836507
52	0.5688449688
53	0.5685353917
54	0.568330396
55	0.5681795634
56	0.5679622799
57	0.5678687915
58	0.5676897958
59	0.5675804557
60	0.5674904905
61	0.5673531295
62	0.567194678
63	0.5671161535
64	0.5669752065
65	0.5668734193
66	0.5667592928
67	0.5665929769
68	0.5663609627
69	0.5662522914
70	0.566171811
71	0.5661214555
72	0.5659723606
73	0.5658864444
74	0.5658100286
75	0.5657390474
76	0.5656298549
77	0.565509374
78	0.565421053
79	0.5653169424
80	0.5652256498
81	0.565185603
82	0.5650809831
83	0.5650162389
84	0.5649022463
85	0.5647478953
86	0.5646518425
87	0.564578295
88	0.5645184616
89	0.5644304195
90	0.5643466985
91	0.5641936294
92	0.5641463876
93	0.5641051649
94	0.5640174074
95	0.5639116299
96	0.5638160065
97	0.5637963422
98	0.5637329121
99	0.5636368956
100	0.5636001747
101	0.5635441818
102	0.5635117545
103	0.5633042251
104	0.5632694044
105	0.5632071367
106	0.5631470173
107	0.5630866076
108	0.5630141846
109	0.5629278055
110	0.5628868253
111	0.5628225516
112	0.562763654
113	0.5626521668
114	0.5625770936
115	0.5625324778
116	0.562474461
117	0.5623440998
118	0.5623233427
119	0.5622479352
120	0.5621597241
121	0.5620337121
122	0.5619874407
123	0.5619363481
124	0.5618563672
125	0.5618516194
126	0.5617903699
127	0.5616854108
128	0.5615871509
129	0.5615470351
130	0.5614717268
131	0.5614206323
132	0.5613623608
133	0.5613113205
134	0.5612323058
135	0.5611627371
136	0.5610466596
137	0.5609996057
138	0.5609482398
139	0.5609081826
140	0.5608974976
141	0.560871729
142	0.5608192648
143	0.5607821781
144	0.5607284161
145	0.5606741565
146	0.5606278109
147	0.5605533831
148	0.5605038433
149	0.5604573756
